ONET_SOC_Code,Occupation,Hist_Ref_2013,MAEI_2026_Score,MAEI_Pure_2026,Anchor_Bias,Exposure_Delta,Score_Source,Mapping_Method,SOC_Major_Group,Data_Flag,Score_Std_Dev,Change_Category,Risk_Tier_2026,Risk_Level,Risk_Factor_1,Risk_Factor_2,Risk_Factor_3,Risk_Factor_4,Risk_Factor_5,Protective_Factor_1,Protective_Factor_2,Protective_Factor_3,Protective_Factor_4,Protective_Factor_5,Explanation,OCC_TITLE,TOT_EMP,A_MEDIAN,H_MEDIAN
43-3051.00,Payroll and Timekeeping Clerks,97.0,100.0,100.0,0.0,4.87,direct_fo,direct,43,,0.18,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.12) [Lack of this exposes role to standard automation],Low levels of originality (value=2.12) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.25) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.12) [Lack of this exposes role to standard automation],Low levels of handling and moving objects (value=1.78) [Lack of this reduces exposure to routine automation],Low levels of realistic (value=1.58) [Lack of this reduces exposure to routine automation],Low levels of extent flexibility (value=1.00) [Lack of this reduces exposure to routine automation],Low levels of physical task indicators (value=0.00) [Lack of this reduces exposure to routine automation],Low levels of performing general physical activities (value=1.69) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from a lack of handling and moving objects.",Payroll and Timekeeping Clerks,157230.0,52240.0,25.11
11-3111.00,Compensation and Benefits Managers,96.0,100.0,20.09,79.91,8.54,direct_fo,direct,11,,0.74,Moderate Increase,Very High,HIGH,Low levels of deductive reasoning (value=3.50) [Lack of this exposes role to standard automation],Low levels of nlp_topic_sales_systems (value=-0.14) [Lack of this exposes role to standard automation],High reliance on routine task indicators (value=3.00) [AI now handles this well],Low levels of memorization (value=2.12) [Lack of this exposes role to standard automation],Low levels of nlp_topic_production_manufacturing (value=-0.13) [Lack of this exposes role to standard automation],High reliance on fluency of ideas (value=3.25) [Provides some protection against standard automation],High reliance on originality (value=3.12) [Provides some protection against standard automation],High reliance on active learning (value=3.75) [Provides some protection against standard automation],High reliance on judgment and decision making (value=3.88) [Provides some protection against standard automation],High reliance on job zone (value=4.00) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of deductive reasoning, making it vulnerable to standard automation. Protection is primarily from fluency of ideas. Since 2013, risk has increased by 8.5 points, driven by changes in deductive reasoning.",Compensation and Benefits Managers,18690.0,136380.0,65.57
43-6012.00,Legal Secretaries and Administrative Assistants,98.0,100.0,100.0,0.0,3.89,direct_fo,direct,43,,0.16,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.00) [Lack of this exposes role to standard automation],High reliance on therapy and counseling (value=2.18) [Provides some protection against standard automation],High reliance on speech recognition (value=3.75) [Provides some protection against standard automation],High reliance on time management (value=3.25) [Provides some protection against standard automation],Low levels of realistic (value=1.52) [Lack of this reduces exposure to routine automation],High reliance on speech clarity (value=3.75) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from therapy and counseling.",Legal Secretaries and Administrative Assistants,152790.0,50680.0,24.37
43-4171.00,Receptionists and Information Clerks,96.0,100.0,100.0,0.0,5.01,direct_fo,direct,43,,0.12,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.50) [Lack of this exposes role to standard automation],Low levels of originality (value=2.38) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=2.62) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.62) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.00) [Lack of this exposes role to standard automation],High reliance on speech recognition (value=3.88) [Provides some protection against standard automation],High reliance on assisting and caring for others (value=3.68) [Requires distinctly human physical/social presence],High reliance on speech clarity (value=3.75) [Provides some protection against standard automation],High reliance on social (value=3.63) [Provides some protection against standard automation],Low levels of extent flexibility (value=1.00) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from speech recognition. Since 2013, risk has increased by 5.0 points, driven by changes in fluency of ideas.",Receptionists and Information Clerks,1003820.0,35840.0,17.23
43-4151.00,Order Clerks,98.0,100.0,100.0,0.0,7.22,direct_fo,direct,43,,0.0,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.50) [Lack of this exposes role to standard automation],Low levels of originality (value=2.25) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.38) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],High reliance on speech recognition (value=4.00) [Provides some protection against standard automation],High reliance on nlp_topic_sales_systems (value=0.19) [Provides some protection against standard automation],High reliance on speech clarity (value=3.88) [Provides some protection against standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],High reliance on creative task indicators (normalized) (value=12.77) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from speech recognition. Since 2013, risk has increased by 7.2 points, driven by changes in fluency of ideas.",Order Clerks,91830.0,41600.0,20.0
43-9021.00,Data Entry Keyers,99.0,100.0,100.0,0.0,5.26,direct_fo,direct,43,,0.26,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.12) [Lack of this exposes role to standard automation],Low levels of originality (value=2.00) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=2.88) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.62) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.00) [Lack of this exposes role to standard automation],High reliance on speech recognition (value=3.50) [Provides some protection against standard automation],Low levels of physical task indicators (value=0.00) [Lack of this reduces exposure to routine automation],High reliance on task_std_importance (value=0.50) [Provides some protection against standard automation],High reliance on working with computers (value=4.71) [Provides some protection against standard automation],Low levels of realistic (value=2.92) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from speech recognition. Since 2013, risk has increased by 5.3 points, driven by changes in fluency of ideas.",Data Entry Keyers,154230.0,37790.0,18.17
41-9021.00,Real Estate Brokers,97.0,100.0,78.36,21.64,6.48,direct_fo,direct,41,,0.31,Moderate Increase,Very High,HIGH,Low levels of originality (value=2.50) [Lack of this exposes role to standard automation],Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.50) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.38) [Lack of this exposes role to standard automation],Low levels of therapy and counseling (value=1.22) [Lack of this exposes role to standard automation],High reliance on active learning (value=3.62) [Provides some protection against standard automation],High reliance on job zone (value=4.00) [Provides some protection against standard automation],High reliance on persuasion (value=3.50) [Provides some protection against standard automation],High reliance on speech recognition (value=3.62) [Provides some protection against standard automation],High reliance on judgment and decision making (value=3.38) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from active learning. Since 2013, risk has increased by 6.5 points, driven by changes in originality.",Real Estate Brokers,51350.0,63060.0,30.32
43-9041.00,Insurance Claims and Policy Processing Clerks,98.0,100.0,85.27,14.73,2.42,direct_fo,direct,43,,0.12,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.38) [Lack of this exposes role to standard automation],Low levels of originality (value=2.25) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.50) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.62) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],High reliance on time management (value=3.50) [Provides some protection against standard automation],Low levels of realistic (value=1.16) [Lack of this reduces exposure to routine automation],Low levels of handling and moving objects (value=1.66) [Lack of this reduces exposure to routine automation],High reliance on speech recognition (value=3.50) [Provides some protection against standard automation],High reliance on social task indicators (normalized) (value=9.35) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from time management.",Insurance Claims and Policy Processing Clerks,241650.0,46900.0,22.55
43-9061.00,"Office Clerks, General",96.0,100.0,100.0,0.0,4.48,direct_fo,direct,43,,0.0,Moderate Increase,Very High,HIGH,Low levels of originality (value=2.12) [Lack of this exposes role to standard automation],Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.00) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],High reliance on creative task indicators (normalized) (value=13.10) [Provides some protection against standard automation],Low levels of extent flexibility (value=1.00) [Lack of this reduces exposure to routine automation],High reliance on social task indicators (normalized) (value=8.73) [Provides some protection against standard automation],Low levels of handling and moving objects (value=2.08) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from creative task indicators.","Office Clerks, General",2496370.0,40480.0,19.46
13-1031.00,"Claims Adjusters, Examiners, and Investigators",98.0,100.0,65.66,34.34,15.1,direct_fo,direct,13,,1.49,Large Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.50) [Lack of this exposes role to standard automation],High reliance on routine task indicators (value=5.00) [AI now handles this well],Low levels of learning strategies (value=2.50) [Lack of this exposes role to standard automation],High reliance on deductive reasoning (value=4.00) [Provides some protection against standard automation],High reliance on therapy and counseling (value=2.58) [Provides some protection against standard automation],High reliance on judgment and decision making (value=3.75) [Provides some protection against standard automation],High reliance on job zone (value=4.00) [Provides some protection against standard automation],High reliance on systems analysis (value=3.00) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from deductive reasoning. Since 2013, risk has increased by 15.1 points, driven by changes in fluency of ideas.","Claims Adjusters, Examiners, and Investigators",293780.0,75050.0,36.08
