SOC_Code,Occupation,Probability,FO_Score,Original_SOC,Match_Method
11-1011,Chief Executives,0.015,1.5,11-1011,direct
11-1021,General and Operations Managers,0.16,16.0,11-1021,direct
11-2011,Advertising and Promotions Managers,0.039,3.9,Nov-11,fuzzy_matched
11-2021,Marketing Managers,0.014,1.4,Nov-21,fuzzy_matched
11-2022,Sales Managers,0.013,1.3,Nov-22,fuzzy_matched
11-2032,Public Relations and Fundraising Managers,0.015,1.5,Nov-31,fuzzy_matched
11-3012,Administrative Services Managers,0.73,73.0,Nov-11,fuzzy_matched
11-3021,Computer and Information Systems Managers,0.035,3.5,Nov-21,fuzzy_matched
11-3031,Financial Managers,0.069,6.9,Nov-31,fuzzy_matched
11-3051,Industrial Production Managers,0.03,3.0,Nov-51,fuzzy_matched
11-3061,Purchasing Managers,0.03,3.0,Nov-61,fuzzy_matched
11-3071,Transportation; Storage; and Distribution Managers,0.59,59.0,Nov-71,fuzzy_matched
11-3111,Compensation and Benefits Managers,0.96,96.0,Nov-11,fuzzy_matched
11-3121,Human Resources Managers,0.0055,0.55,Nov-21,fuzzy_matched
11-3131,Training and Development Managers,0.0063,0.63,Nov-31,fuzzy_matched
11-9013,Farmers; Ranchers; and Other Agricultural Managers,0.047,4.7,Nov-13,fuzzy_matched
11-9021,Construction Managers,0.071,7.1,Nov-21,fuzzy_matched
11-9031,Education Administrators; Preschool and Childcare Center/Program,0.015,1.5,Nov-31,fuzzy_matched
11-9031,Education Administrators; Elementary and Secondary School,0.0046,0.46,Nov-32,fuzzy_matched
11-9033,Education Administrators; Postsecondary,0.01,1.0,Nov-33,fuzzy_matched
11-9041,Architectural and Engineering Managers,0.017,1.7,Nov-41,fuzzy_matched
11-9051,Food Service Managers,0.083,8.3,Nov-51,fuzzy_matched
11-1021,Gaming Managers,0.091,9.1,Nov-71,fuzzy_matched
11-9081,Lodging Managers,0.0039,0.39,Nov-81,fuzzy_matched
11-9111,Medical and Health Services Managers,0.0073,0.73,Nov-11,fuzzy_matched
11-9121,Natural Sciences Managers,0.018,1.8,Nov-21,fuzzy_matched
11-9131,Postmasters and Mail Superintendents,0.75,75.0,Nov-31,fuzzy_matched
11-9141,Property; Real Estate; and Community Association Managers,0.81,81.0,Nov-41,fuzzy_matched
11-9151,Social and Community Service Managers,0.0067,0.67,Nov-51,fuzzy_matched
11-9161,Emergency Management Directors,0.003,0.3,Nov-61,fuzzy_matched
