ONET_SOC_Code,Base_SOC,ONET_Title,FO_Score,FO_Probability,FO_Occupation,Mapping_Method
11-1011.00,11-1011,Chief Executives,1.5,0.015,Chief Executives,direct
11-1011.03,11-1011,Chief Sustainability Officers,1.5,0.015,Chief Executives,direct
11-1021.00,11-1021,General and Operations Managers,9.1,0.091,Gaming Managers,direct
11-1031.00,11-1031,Legislators,5.3,0.053,[Group avg: 11-10],group_avg
11-2011.00,11-2011,Advertising and Promotions Managers,3.9,0.039,Advertising and Promotions Managers,direct
11-2021.00,11-2021,Marketing Managers,1.4,0.014,Marketing Managers,direct
11-2022.00,11-2022,Sales Managers,1.3,0.013,Sales Managers,direct
11-2032.00,11-2032,Public Relations Managers,1.5,0.015,Public Relations and Fundraising Managers,direct
11-2033.00,11-2033,Fundraising Managers,2.025,0.02025,[Group avg: 11-20],group_avg
11-3012.00,11-3012,Administrative Services Managers,73.0,0.73,Administrative Services Managers,direct
11-3013.00,11-3013,Facilities Managers,24.733333333333334,0.24733333333333335,[Group avg: 11-30],group_avg
11-3013.01,11-3013,Security Managers,24.733333333333334,0.24733333333333335,[Group avg: 11-30],group_avg
11-3021.00,11-3021,Computer and Information Systems Managers,3.5,0.035,Computer and Information Systems Managers,direct
11-3031.00,11-3031,Financial Managers,6.9,0.069,Financial Managers,direct
11-3031.01,11-3031,Treasurers and Controllers,6.9,0.069,Financial Managers,direct
11-3031.03,11-3031,Investment Fund Managers,6.9,0.069,Financial Managers,direct
11-3051.00,11-3051,Industrial Production Managers,3.0,0.03,Industrial Production Managers,direct
11-3051.01,11-3051,Quality Control Systems Managers,3.0,0.03,Industrial Production Managers,direct
11-3051.02,11-3051,Geothermal Production Managers,3.0,0.03,Industrial Production Managers,direct
11-3051.03,11-3051,Biofuels Production Managers,3.0,0.03,Industrial Production Managers,direct
11-3051.04,11-3051,Biomass Power Plant Managers,3.0,0.03,Industrial Production Managers,direct
11-3051.06,11-3051,Hydroelectric Production Managers,3.0,0.03,Industrial Production Managers,direct
11-3061.00,11-3061,Purchasing Managers,3.0,0.03,Purchasing Managers,direct
11-3071.00,11-3071,"Transportation, Storage, and Distribution Managers",59.0,0.59,Transportation; Storage; and Distribution Managers,direct
11-3071.04,11-3071,Supply Chain Managers,59.0,0.59,Transportation; Storage; and Distribution Managers,direct
11-3111.00,11-3111,Compensation and Benefits Managers,96.0,0.96,Compensation and Benefits Managers,direct
11-3121.00,11-3121,Human Resources Managers,0.55,0.0055,Human Resources Managers,direct
11-3131.00,11-3131,Training and Development Managers,0.63,0.0063,Training and Development Managers,direct
11-9013.00,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",4.7,0.047,Farmers; Ranchers; and Other Agricultural Managers,direct
11-9021.00,11-9021,Construction Managers,7.1,0.071,Construction Managers,direct
11-9031.00,11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.46,0.0046,Education Administrators; Elementary and Secondary School,direct
11-9032.00,11-9032,"Education Administrators, Kindergarten through Secondary",3.378571428571429,0.03378571428571429,[Group avg: 11-90],group_avg
11-9033.00,11-9033,"Education Administrators, Postsecondary",1.0,0.01,Education Administrators; Postsecondary,direct
11-9039.00,11-9039,"Education Administrators, All Other",3.378571428571429,0.03378571428571429,[Group avg: 11-90],group_avg
11-9041.00,11-9041,Architectural and Engineering Managers,1.7,0.017,Architectural and Engineering Managers,direct
11-9041.01,11-9041,Biofuels/Biodiesel Technology and Product Development Managers,1.7,0.017,Architectural and Engineering Managers,direct
11-9051.00,11-9051,Food Service Managers,8.3,0.083,Food Service Managers,direct
11-9071.00,11-9071,Gambling Managers,3.378571428571429,0.03378571428571429,[Group avg: 11-90],group_avg
11-9072.00,11-9072,"Entertainment and Recreation Managers, Except Gambling",3.378571428571429,0.03378571428571429,[Group avg: 11-90],group_avg
11-9081.00,11-9081,Lodging Managers,0.39,0.0039,Lodging Managers,direct
11-9111.00,11-9111,Medical and Health Services Managers,0.73,0.0073,Medical and Health Services Managers,direct
11-9121.00,11-9121,Natural Sciences Managers,1.8,0.018,Natural Sciences Managers,direct
11-9121.01,11-9121,Clinical Research Coordinators,1.8,0.018,Natural Sciences Managers,direct
11-9121.02,11-9121,Water Resource Specialists,1.8,0.018,Natural Sciences Managers,direct
11-9131.00,11-9131,Postmasters and Mail Superintendents,75.0,0.75,Postmasters and Mail Superintendents,direct
11-9141.00,11-9141,"Property, Real Estate, and Community Association Managers",81.0,0.81,Property; Real Estate; and Community Association Managers,direct
11-9151.00,11-9151,Social and Community Service Managers,0.67,0.0067,Social and Community Service Managers,direct
11-9161.00,11-9161,Emergency Management Directors,0.3,0.003,Emergency Management Directors,direct
11-9171.00,11-9171,Funeral Home Managers,26.357142857142858,0.26357142857142857,[Group avg: 11-91],group_avg
11-9179.00,11-9179,"Personal Service Managers, All Other",26.357142857142858,0.26357142857142857,[Group avg: 11-91],group_avg
11-9179.01,11-9179,Fitness and Wellness Coordinators,26.357142857142858,0.26357142857142857,[Group avg: 11-91],group_avg
11-9179.02,11-9179,Spa Managers,26.357142857142858,0.26357142857142857,[Group avg: 11-91],group_avg
11-9199.00,11-9199,"Managers, All Other",25.0,0.25,Managers; All Other,direct
11-9199.01,11-9199,Regulatory Affairs Managers,25.0,0.25,Managers; All Other,direct
11-9199.02,11-9199,Compliance Managers,25.0,0.25,Managers; All Other,direct
11-9199.08,11-9199,Loss Prevention Managers,25.0,0.25,Managers; All Other,direct
11-9199.09,11-9199,Wind Energy Operations Managers,25.0,0.25,Managers; All Other,direct
11-9199.10,11-9199,Wind Energy Development Managers,25.0,0.25,Managers; All Other,direct
11-9199.11,11-9199,Brownfield Redevelopment Specialists and Site Managers,25.0,0.25,Managers; All Other,direct
13-1011.00,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",24.0,0.24,Agents and Business Managers of Artists; Performers; and Athletes,direct
