exposure_rank,onet_soc_code,occupation_title,exposure_score,dispersion_sd,n_tasks,passtasks,share_gated,share_phys_gate,share_capability_gate_digital,mean_objverif_pass,mean_ctxindep_pass,exposure_no_analyst,weighting_mode,n_gated,n_analyst_imputed,n_suppressed,small_occ_flag,survey_n,survey_date
1,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.9776176813040586,0.09438537012636959,28,28,0.0,0.0,0.0,1.9647371922821024,1.9647371922821024,0.9776176813040586,IM-weighted,0,0,0,False,130.0,07/2017
2,43-3051.00,Payroll and Timekeeping Clerks,0.9172658908771545,0.22737901530334298,21,20,0.05060928751783951,0.05060928751783951,0.0,1.9559435707678074,1.9559435707678074,0.9172658908771545,IM-weighted,1,0,0,False,64.0,08/2022
3,43-9041.00,Insurance Claims and Policy Processing Clerks,0.9147247247247248,0.20909017512539083,25,24,0.036529863196529865,0.036529863196529865,0.0,1.9218429655898488,1.8784008422452485,0.8984818151484818,IM-weighted,1,4,0,False,160.0,08/2022
4,43-9021.00,Data Entry Keyers,0.8975441787941787,0.28696927081718776,9,8,0.09147609147609147,0.09147609147609147,0.0,2.0,2.0,0.8975441787941787,IM-weighted,1,0,0,False,54.0,08/2018
5,13-1081.02,Logistics Analysts,0.875771340418238,0.14826532620184596,31,31,0.0,0.0,0.0,1.8318477888241347,1.739286938635585,0.875771340418238,IM-weighted,0,0,0,False,22.0,08/2020
6,43-4151.00,Order Clerks,0.8752710459183675,0.20646519355924642,19,19,0.0,0.0,0.0,1.7362244897959187,1.5826530612244902,0.8752710459183675,IM-weighted,0,0,0,False,59.0,08/2023
7,43-4021.00,Correspondence Clerks,0.8697110830438901,0.2600628161475432,17,16,0.050520997789706354,0.050520997789706354,0.0,1.7615563684735616,1.8232457598935816,0.8697110830438901,IM-weighted,1,0,0,False,55.0,08/2023
8,29-2072.00,Medical Records Specialists,0.8676470588235293,0.2624495337878639,17,16,0.058823529411764705,0.058823529411764705,0.0,1.9375,1.875,,unweighted,1,17,0,False,,
9,43-5011.01,Freight Forwarders,0.8623431983775257,0.2054999562611427,31,30,0.03477803650567115,0.03477803650567115,0.0,1.8729182879377433,1.8358754863813231,0.8623431983775257,IM-weighted,1,0,0,False,49.0,08/2024
10,43-4031.00,"Court, Municipal, and License Clerks",0.8557339352322823,0.20613844300686338,30,29,0.029755849440488303,0.029755849440488303,0.0,1.964613368283093,1.7559196155526433,0.8489636317395729,IM-weighted,1,3,0,False,265.0,08/2022
11,15-1243.01,Data Warehousing Specialists,0.854579655621473,0.10335236272646678,18,18,0.0,0.0,0.0,1.890898567501085,1.7813630444219362,0.854579655621473,IM-weighted,0,0,0,False,23.0,08/2018
12,43-9111.00,Statistical Assistants,0.8423792456050521,0.3420829974568261,14,12,0.13961426864652673,0.13961426864652673,0.0,2.0,2.0,0.8423792456050521,IM-weighted,2,0,0,False,112.0,07/2015
13,43-9022.00,Word Processors and Typists,0.8386446147640176,0.36785843050191197,19,16,0.16135538523598225,0.16135538523598225,0.0,2.0,2.0,0.8386446147640176,IM-weighted,3,0,0,False,90.0,07/2017
14,15-2051.01,Business Intelligence Analysts,0.8342853766151908,0.14591883916809648,17,17,0.0,0.0,0.0,1.780334068704696,1.5961235423889066,0.8342853766151908,IM-weighted,0,0,0,False,22.0,08/2024
15,17-1021.00,Cartographers and Photogrammetrists,0.8322624955689472,0.20318681115562087,14,13,0.05051400212690535,0.05051400212690535,0.0,2.0,1.8566361769647188,0.8322624955689472,IM-weighted,1,0,0,False,60.0,08/2018
16,43-9081.00,Proofreaders and Copy Markers,0.8247173298543161,0.18847653292528982,11,11,0.0,0.0,0.0,1.5857795172863667,1.7488584474885842,0.8247173298543161,IM-weighted,0,0,0,False,53.0,07/2016
17,41-3041.00,Travel Agents,0.8237134420697412,0.2349818334154446,8,8,0.0,0.0,0.0,1.6144544431946006,1.485939257592801,0.8237134420697412,IM-weighted,0,0,0,False,69.0,07/2016
18,43-3021.00,Billing and Posting Clerks,0.8215088960701286,0.3393125234000638,28,24,0.13353019835079116,0.13353019835079116,0.0,1.9587818460074333,1.916483403423486,0.8098803952158087,IM-weighted,4,5,0,False,127.0,08/2022
19,13-2082.00,Tax Preparers,0.8085944964647429,0.27653436844504703,12,11,0.08733040321039556,0.08733040321039556,0.0,1.9120603015075377,1.7282244556113902,0.8085944964647429,IM-weighted,1,0,0,False,21.0,08/2025
20,43-3061.00,Procurement Clerks,0.8048340778557753,0.31491736424845845,19,17,0.09827696234843651,0.09827696234843651,0.0,1.8911535739561218,1.6556263269639064,0.8048340778557753,IM-weighted,2,0,0,False,58.0,08/2022
21,43-5061.00,"Production, Planning, and Expediting Clerks",0.8046031000469702,0.27858911374001105,17,16,0.060435259120087674,0.060435259120087674,0.0,1.8673554407598734,1.611898016997167,0.8046031000469702,IM-weighted,1,0,0,False,73.0,08/2022
22,27-3092.00,Court Reporters and Simultaneous Captioners,0.8005500758725341,0.3276117495116008,14,12,0.13717754172989374,0.13717754172989374,0.0,2.0,1.9203306366514246,0.8005500758725341,IM-weighted,2,0,0,False,64.0,08/2020
23,15-2041.00,Statisticians,0.8005154639175257,0.13385717506943096,19,19,0.0,0.0,0.0,1.6466494845360826,1.6992268041237117,0.8005154639175257,IM-weighted,0,0,0,False,21.0,08/2024
24,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",0.7993830112875454,0.1648882521051875,12,12,0.0,0.0,0.0,1.7532045150181752,1.3160512722402908,0.7993830112875454,IM-weighted,0,0,0,False,69.0,08/2021
25,31-9094.00,Medical Transcriptionists,0.7970097967539113,0.2455869009466884,15,14,0.06141248720573182,0.06141248720573182,0.0,1.8657111699641686,1.64573921171522,0.7970097967539113,IM-weighted,1,0,0,False,51.0,08/2021
26,43-9031.00,Desktop Publishers,0.7958796421794524,0.29975559103459565,18,16,0.09365681756573598,0.09365681756573598,0.0,1.7554957379991025,1.8223418573351275,0.7958796421794524,IM-weighted,2,0,0,False,66.0,08/2021
27,15-1253.00,Software Quality Assurance Analysts and Testers,0.795796036307673,0.20590053914260367,30,29,0.02823895222839913,0.02823895222839913,0.0,1.7640328507849086,1.6724908613150011,0.7823659662677849,IM-weighted,1,3,0,False,34.0,08/2022
28,43-6013.00,Medical Secretaries and Administrative Assistants,0.7928341754708316,0.3494323851545961,15,13,0.1396417087735416,0.1396417087735416,0.0,2.0,1.686065136145222,0.7928341754708316,IM-weighted,2,0,0,False,85.0,08/2021
29,15-2051.00,Data Scientists,0.7890625,0.1807036485346934,16,16,0.0,0.0,0.0,1.4375,1.625,,unweighted,0,16,0,False,,
30,19-4012.01,Precision Agriculture Technicians,0.7870727010110735,0.28045973376567446,22,20,0.09954260953298023,0.09954260953298023,0.0,1.9516107472263067,1.82101323352493,0.7870727010110735,IM-weighted,2,0,0,False,23.0,08/2023
31,15-1254.00,Web Developers,0.7870230658844386,0.23674044892051668,29,28,0.03637150213143123,0.03637150213143123,0.0,1.7179414180125925,1.5688256227758004,0.7943951448388414,IM-weighted,1,2,0,False,24.0,07/2017
32,15-2051.02,Clinical Data Managers,0.7819444444444444,0.2590154191067323,21,20,0.043933588761174966,0.043933588761174966,0.0,1.6822067860005345,1.5913705583756346,0.7819444444444444,IM-weighted,1,0,0,False,20.0,07/2016
33,43-4131.00,Loan Interviewers and Clerks,0.7816770979690892,0.3040316085861798,18,16,0.10703793587942263,0.10703793587942263,0.0,1.874409955657274,1.6884565870404808,0.7816770979690892,IM-weighted,2,0,0,False,62.0,07/2017
34,23-2093.00,"Title Examiners, Abstractors, and Searchers",0.7813391918281509,0.2952454813581544,16,14,0.12302839116719243,0.12302839116719243,0.0,2.0,2.0,0.7813391918281509,IM-weighted,2,0,0,False,48.0,07/2017
35,15-1299.01,Web Administrators,0.7758905013192613,0.19408944063287947,35,34,0.027484608619173262,0.027484608619173262,0.0,1.7073630266033608,1.5313135880624011,0.7758905013192613,IM-weighted,1,0,0,False,20.0,08/2018
36,15-1242.00,Database Administrators,0.7735713109354415,0.14694446707362457,18,18,0.0,0.0,0.0,1.6847826086956523,1.3896574440052702,0.7735713109354415,IM-weighted,0,0,0,False,67.0,08/2023
37,43-3071.00,Tellers,0.7721558636819246,0.35308034941146943,28,24,0.15218843969261608,0.15218843969261608,0.0,1.9205911330049261,1.7930049261083745,0.7721558636819246,IM-weighted,4,0,0,False,76.0,08/2018
38,43-2011.00,"Switchboard Operators, Including Answering Service",0.770509738658777,0.3540722377707562,19,16,0.15840729783037477,0.15840729783037477,0.0,1.93452468141204,1.660465797568478,0.770509738658777,IM-weighted,3,0,0,False,76.0,08/2022
39,43-4051.00,Customer Service Representatives,0.7687618595825428,0.19044006569314634,13,13,0.0,0.0,0.0,1.6216318785578747,1.2958254269449714,0.7687618595825428,IM-weighted,0,0,0,False,74.0,08/2022
40,15-1299.06,Digital Forensics Analysts,0.7687499999999999,0.10661701318269988,20,20,0.0,0.0,0.0,1.6500000000000001,1.5,,unweighted,0,20,0,False,,
41,13-2053.00,Insurance Underwriters,0.7621681415929205,0.12440633557088096,7,7,0.0,0.0,0.0,1.5486725663716814,1.5486725663716814,0.7621681415929205,IM-weighted,0,0,0,False,30.0,08/2018
42,41-9041.00,Telemarketers,0.761000385133834,0.2334110945770983,12,12,0.0,0.0,0.0,1.4798767571731177,1.1282495667244365,0.761000385133834,IM-weighted,0,0,0,False,48.0,08/2023
43,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.7597987288135595,0.24251458637142606,19,18,0.057203389830508475,0.057203389830508475,0.0,1.7149063670411986,1.5035205992509364,0.7597987288135595,IM-weighted,1,0,0,False,101.0,07/2017
44,15-1299.03,Document Management Specialists,0.7596415607985482,0.21533070241693716,23,22,0.043670598911070786,0.043670598911070786,0.0,1.6635037362115999,1.4723045902028231,0.7596415607985482,IM-weighted,1,0,0,False,20.0,08/2021
45,17-2051.02,Water/Wastewater Engineers,0.7578571428571429,0.1976141709094206,28,27,0.03457142857142857,0.03457142857142857,0.0,1.7978691920686596,1.5677222057808031,0.7578571428571429,IM-weighted,1,0,0,False,23.0,08/2020
46,43-4041.00,"Credit Authorizers, Checkers, and Clerks",0.7553591954022988,0.37426774330659646,16,13,0.17344827586206896,0.17344827586206896,0.0,1.9243846474760118,1.6975385899040465,0.8259770114942532,IM-weighted,3,5,0,False,,
